timestamp,image,aec_level,agc_gain,amb,r,g,b,temp,pressure,humidity,gas,co2,accel,gyro,quat,AeLocked,SensorTemperature,SensorBlackLevels,AnalogueGain,ColourCorrectionMatrix,FocusFoM,ColourTemperature,ColourGains,AfPauseState,SensorTimestamp,Lux,ScalerCrop,LensPosition,FrameDuration,ExposureTime,AfState,DigitalGain,captureTimestamp,image_format,ev
20250111164258_base,00_20250111164306.jpg,,,4541,1089,1886,2095,34.97999954223633,1007.6117553710938,59,22357,822,"(-636.0, -54.0, 4045.0)","(-1.0, 6.0, 2.0)","(-0.01782221905887127, 0.07647685706615448, 0.11938446015119553, 0.9896824955940247)",True,58.0,"(4096, 4096, 4096, 4096)",1.1228070259094238,"(1.516603946685791, -0.3512471616268158, -0.16535015404224396, -0.2397891879081726, 1.636227011680603, -0.39643439650535583, -0.015187994576990604, -0.4809131324291229, 1.4961076974868774)",1220,6478,"(2.621291160583496, 1.6161682605743408)",0,2038522013000,30731.712890625,"(684, 0, 3240, 2592)",1.0,17849,106,0,1.0444756746292114,20250111164306,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",-2.0
20250111164258,00_20250111164308.jpg,,,4541,1089,1886,2095,34.97999954223633,1007.6117553710938,59,22357,822,"(-636.0, -54.0, 4045.0)","(-1.0, 6.0, 2.0)","(-0.01782221905887127, 0.07647685706615448, 0.11938446015119553, 0.9896824955940247)",True,58.0,"(4096, 4096, 4096, 4096)",1.1228070259094238,"(1.5203485488891602, -0.356346994638443, -0.1639946550130844, -0.2421208620071411, 1.6332216262817383, -0.3910976052284241, -0.01619800180196762, -0.4754784107208252, 1.4916832447052002)",1933,6437,"(2.5570623874664307, 1.6009145975112915)",0,2039924345000,30336.001953125,"(684, 0, 3240, 2592)",1.0,17849,187,0,1.0363409519195557,20250111164308,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",-1.0
20250111164258,00_20250111164309.jpg,,,4541,1089,1886,2095,34.97999954223633,1007.6117553710938,59,22357,822,"(-636.0, -54.0, 4045.0)","(-1.0, 6.0, 2.0)","(-0.01782221905887127, 0.07647685706615448, 0.11938446015119553, 0.9896824955940247)",True,57.0,"(4096, 4096, 4096, 4096)",1.1228070259094238,"(1.517790675163269, -0.3528634309768677, -0.16492056846618652, -0.2405281513929367, 1.6352745294570923, -0.39474305510520935, -0.01550808921456337, -0.47919076681137085, 1.4947055578231812)",3653,6465,"(2.598417282104492, 1.6104601621627808)",0,2041282147000,30132.90625,"(684, 0, 3240, 2592)",1.0,17849,374,0,1.0410609245300293,20250111164309,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",0.0
20250111164258,00_20250111164311.jpg,,,4541,1089,1886,2095,34.97999954223633,1007.6117553710938,59,22357,822,"(-636.0, -54.0, 4045.0)","(-1.0, 6.0, 2.0)","(-0.01782221905887127, 0.07647685706615448, 0.11938446015119553, 0.9896824955940247)",True,57.0,"(4096, 4096, 4096, 4096)",1.1228070259094238,"(1.51632559299469, -0.3508681356906891, -0.16545088589191437, -0.23961588740348816, 1.6364502906799316, -0.39683103561401367, -0.015112929977476597, -0.48131707310676575, 1.496436595916748)",7376,6481,"(2.6361262798309326, 1.6204416751861572)",0,2042627910000,30026.94140625,"(684, 0, 3240, 2592)",1.0,17849,774,0,1.0050865411758423,20250111164311,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",1.0
20250111164258,00_20250111164312.jpg,,,4541,1089,1886,2095,34.97999954223633,1007.6117553710938,59,22357,822,"(-636.0, -54.0, 4045.0)","(-1.0, 6.0, 2.0)","(-0.01782221905887127, 0.07647685706615448, 0.11938446015119553, 0.9896824955940247)",True,57.0,"(4096, 4096, 4096, 4096)",1.1228070259094238,"(1.5156553983688354, -0.3499552607536316, -0.1656935214996338, -0.23919852077960968, 1.6369882822036743, -0.39778634905815125, -0.014932136051356792, -0.4822898805141449, 1.4972286224365234)",13449,6488,"(2.6708624362945557, 1.630612850189209)",0,2043992665000,23699.833984375,"(684, 0, 3240, 2592)",1.0,17849,1736,0,1.0040806531906128,20250111164312,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",2.0
20250111164353,00_20250111164358.jpg,,,4520,1096,1874,2080,34.959999084472656,1007.58837890625,59,24028,605,"(-643.0, -41.0, 4049.0)","(1.0, -13.0, -3.0)","(-0.016235310584306717, 0.07446269690990448, 0.11181612312793732, 0.9907811284065247)",True,60.0,"(4096, 4096, 4096, 4096)",1.1228070259094238,"(1.5278868675231934, -0.36661359667778015, -0.16126589477062225, -0.2468148171901703, 1.627171516418457, -0.38035401701927185, -0.01823127269744873, -0.4645376205444336, 1.482776165008545)",1919,6355,"(2.6798083782196045, 1.6564220190048218)",0,2090369663000,30467.74609375,"(684, 0, 3240, 2592)",1.0,17849,187,0,1.0831714868545532,20250111164358,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",-2.0
20250111164353,00_20250111164400.jpg,,,4520,1096,1874,2080,34.959999084472656,1007.58837890625,59,24028,605,"(-643.0, -41.0, 4049.0)","(1.0, -13.0, -3.0)","(-0.016235310584306717, 0.07446269690990448, 0.11181612312793732, 0.9907811284065247)",True,59.0,"(4096, 4096, 4096, 4096)",1.1228070259094238,"(1.52016019821167, -0.3560905456542969, -0.16406282782554626, -0.24200360476970673, 1.6333727836608887, -0.39136600494384766, -0.016147209331393242, -0.47575172781944275, 1.4919058084487915)",1901,6439,"(2.647129535675049, 1.6314117908477783)",0,2091719019000,30477.056640625,"(684, 0, 3240, 2592)",1.0,17849,187,0,1.0226547718048096,20250111164400,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",-1.0
20250111164353,00_20250111164401.jpg,,,4520,1096,1874,2080,34.959999084472656,1007.58837890625,59,24028,605,"(-643.0, -41.0, 4049.0)","(1.0, -13.0, -3.0)","(-0.016235310584306717, 0.07446269690990448, 0.11181612312793732, 0.9907811284065247)",True,58.0,"(4096, 4096, 4096, 4096)",1.1228070259094238,"(1.5170283317565918, -0.35182520747184753, -0.1651965081691742, -0.2400534749031067, 1.635886311531067, -0.3958294987678528, -0.015302474610507488, -0.48029714822769165, 1.4956063032150269)",3604,6473,"(2.657127618789673, 1.6288553476333618)",0,2093080746000,30276.9375,"(684, 0, 3240, 2592)",1.0,17849,374,0,1.030172348022461,20250111164401,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",0.0
20250111164353,00_20250111164402.jpg,,,4520,1096,1874,2080,34.959999084472656,1007.58837890625,59,24028,605,"(-643.0, -41.0, 4049.0)","(1.0, -13.0, -3.0)","(-0.016235310584306717, 0.07446269690990448, 0.11181612312793732, 0.9907811284065247)",True,58.0,"(4096, 4096, 4096, 4096)",1.1228070259094238,"(1.515882134437561, -0.35026413202285767, -0.16561143100261688, -0.23933973908424377, 1.6368062496185303, -0.3974631130695343, -0.01499330997467041, -0.4819607138633728, 1.4969606399536133)",7014,6486,"(2.671051263809204, 1.6312450170516968)",0,2094405585000,30171.908203125,"(684, 0, 3240, 2592)",1.0,17849,748,0,1.0319840908050537,20250111164402,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",1.0
20250111164353,00_20250111164404.jpg,,,4520,1096,1874,2080,34.959999084472656,1007.58837890625,59,24028,605,"(-643.0, -41.0, 4049.0)","(1.0, -13.0, -3.0)","(-0.016235310584306717, 0.07446269690990448, 0.11181612312793732, 0.9907811284065247)",True,58.0,"(4096, 4096, 4096, 4096)",1.1228070259094238,"(1.5164821147918701, -0.3510811924934387, -0.16539426147937775, -0.23971329629421234, 1.6363247632980347, -0.3966080844402313, -0.015155122615396976, -0.4810900092124939, 1.4962517023086548)",13493,6479,"(2.689720630645752, 1.6383570432662964)",0,2095718178000,24211.724609375,"(684, 0, 3240, 2592)",1.0,17849,1710,0,1.0062235593795776,20250111164404,"{'format': 'BGR888', 'size': (1280, 1024), 'preserve_ar': True, 'stride': 3840, 'framesize': 3932160}",2.0
